"","words","frequency"
"1","of the",111773
"2","in the",98750
"3","to the",54720
"4","on the",49902
"5","for the",46465
"6","to be",45491
"7","and the",34107
"8","at the",33256
"9","i have",30285
"10","i was",30133
"11","and i",29230
"12","is a",29193
"13","in a",29189
"14","it was",29089
"15","it is",28061
"16","with the",27367
"17","i am",27284
"18","for a",24207
"19","from the",22827
"20","if you",22217
"21","that i",21211
"22","with a",20806
"23","is the",20681
"24","of a",20462
"25","have a",20317
"26","going to",19878
"27","will be",19803
"28","one of",19654
"29","to get",18919
"30","this is",18916
"31","want to",17806
"32","as a",17212
"33","to do",17081
"34","have to",16946
"35","but i",16779
"36","i think",16285
"37","of my",16068
"38","was a",16034
"39","that the",15947
"40","all the",15578
"41","by the",15310
"42","out of",15261
"43","i had",15229
"44","you can",15041
"45","when i",14698
"46","to see",14559
"47","and a",14467
"48","in my",14421
"49","a few",14268
"50","the same",13619
"51","the first",13595
"52","you are",13516
"53","have been",13515
"54","to make",13458
"55","i love",13407
"56","a little",13210
"57","on a",13034
"58","to a",13020
"59","a lot",12936
"60","i can",12768
"61","need to",12278
"62","be a",12172
"63","so i",12152
"64","i dont",12036
"65","you have",11912
"66","they are",11873
"67","i know",11816
"68","would be",11625
"69","there is",11609
"70","we are",11527
"71","to have",11295
"72","about the",11083
"73","to go",11034
"74","that is",10977
"75","i will",10842
"76","has been",10627
"77","had a",10548
"78","into the",10517
"79","as the",10457
"80","a good",10456
"81","a great",10403
"82","is not",10373
"83","there are",10364
"84","i would",10264
"85","he was",9988
"86","the world",9929
"87","the best",9928
"88","and then",9709
"89","i just",9672
"90","we have",9415
"91","thank you",9324
"92","on my",9259
"93","so much",9102
"94","all of",9076
"95","like a",9056
"96","if i",8991
"97","the most",8960
"98","for me",8798
"99","do you",8727
"100","to me",8720
"101","thanks for",8652
"102","as i",8602
"103","some of",8447
"104","able to",8424
"105","as well",8388
"106","over the",8362
"107","lot of",8350
"108","the other",8332
"109","is that",8292
"110","a new",8253
"111","part of",8249
"112","the way",8217
"113","back to",8192
"114","and it",8163
"115","more than",8163
"116","trying to",8129
"117","i could",8058
"118","of this",8025
"119","what i",8010
"120","you know",8000
"121","was the",7973
"122","a bit",7917
"123","in this",7903
"124","can be",7831
"125","to my",7826
"126","the time",7743
"127","i want",7540
"128","at least",7496
"129","had to",7480
"130","me to",7452
"131","of course",7441
"132","the last",7421
"133","time to",7297
"134","but the",7286
"135","that you",7193
"136","when you",7142
"137","to take",7099
"138","the new",7041
"139","but it",6972
"140","to say",6925
"141","up to",6908
"142","with my",6901
"143","the next",6884
"144","i do",6873
"145","are you",6759
"146","kind of",6652
"147","way to",6584
"148","the end",6570
"149","that we",6568
"150","of his",6526
"151","of our",6525
"152","they were",6509
"153","go to",6494
"154","he is",6438
"155","i got",6388
"156","at a",6261
"157","wanted to",6209
"158","that was",6197
"159","the only",6185
"160","the day",6131
"161","i cant",6118
"162","like to",6080
"163","that it",6062
"164","should be",6047
"165","how to",6006
"166","i did",5953
"167","for my",5913
"168","through the",5904
"169","i thought",5885
"170","we were",5857
"171","and we",5848
"172","it to",5835
"173","of them",5834
"174","be the",5828
"175","has a",5765
"176","she was",5761
"177","right now",5756
"178","there was",5709
"179","that he",5707
"180","like the",5697
"181","which is",5667
"182","and that",5629
"183","i need",5614
"184","would have",5576
"185","not a",5499
"186","i hope",5493
"187","when the",5478
"188","are the",5471
"189","to find",5448
"190","for you",5415
"191","because i",5371
"192",""" i",5355
"193","of your",5351
"194","i don't",5348
"195","you will",5347
"196","of it",5331
"197","a very",5319
"198","up with",5315
"199","from a",5309
"200","out the",5288
"201","is to",5285
"202","have the",5275
"203","you to",5272
"204","get a",5271
"205","such a",5240
"206","that they",5234
"207","you want",5215
"208","it would",5207
"209","do not",5203
"210","into a",5147
"211","in his",5101
"212","we can",5085
"213","to work",5083
"214","it and",5052
"215","i feel",5045
"216","a couple",5027
"217","its a",5014
"218","up the",5011
"219","up and",5004
"220","most of",5003
"221","me and",4996
"222","what is",4995
"223","and you",4981
"224","not to",4970
"225","im not",4930
"226","end of",4913
"227","to keep",4859
"228","in your",4855
"229","it will",4797
"230","i really",4783
"231","of their",4775
"232","to you",4750
"233","they have",4734
"234","what you",4726
"235","i like",4704
"236",""" the",4689
"237","of you",4675
"238","this week",4648
"239","in our",4643
"240","about it",4605
"241","this year",4603
"242","know what",4594
"243","my life",4587
"244","i get",4577
"245","of all",4569
"246","used to",4555
"247","just a",4552
"248","i didnt",4544
"249","know that",4532
"250","for this",4518
"251","and my",4516
"252","are not",4513
"253","of us",4501
"254","and they",4480
"255","around the",4462
"256","is an",4410
"257","we had",4396
"258","to know",4394
"259","and he",4374
"260","make a",4373
"261","see the",4371
"262","do it",4358
"263","make it",4356
"264","on this",4339
"265","by a",4329
"266","time i",4318
"267","at all",4313
"268","look at",4305
"269","out to",4287
"270","try to",4256
"271","she is",4247
"272","to come",4228
"273","the one",4220
"274","to give",4220
"275","the right",4195
