"","words","frequency"
"1","one of the",8868
"2","a lot of",7963
"3","thanks for the",4817
"4","to be a",4811
"5","i want to",4472
"6","it was a",4270
"7","going to be",4157
"8","out of the",4038
"9","the end of",4002
"10","some of the",3848
"11","be able to",3843
"12","as well as",3834
"13","i have a",3644
"14","i have to",3628
"15","a couple of",3294
"16","the rest of",3248
"17","this is a",3090
"18","the fact that",3038
"19","part of the",3032
"20","one of my",3010
"21","there is a",2972
"22","it is a",2843
"23","you want to",2779
"24","i need to",2766
"25","this is the",2732
"26","i have been",2714
"27","i had to",2621
"28","looking forward to",2589
"29","if you are",2564
"30","is going to",2532
"31","in the world",2509
"32","end of the",2489
"33","it would be",2483
"34","i wanted to",2438
"35","thank you for",2429
"36","you have to",2381
"37","there is no",2365
"38","the first time",2348
"39","i had a",2312
"40","when i was",2293
"41","to have a",2288
"42","all of the",2287
"43","in order to",2269
"44","i dont know",2267
"45","at the end",2238
"46","is one of",2198
"47","to go to",2181
"48","im going to",2168
"49","most of the",2165
"50","i am not",2154
"51","cant wait to",2124
"52","a bit of",2074
"53","i think i",2072
"54","i love you",2059
"55","you have a",2047
"56","in front of",2006
"57","back to the",1986
"58","if you have",1982
"59","to be the",1944
"60","rest of the",1937
"61","i will be",1905
"62","to do with",1873
"63","to make a",1830
"64","for the first",1827
"65","was going to",1825
"66","want to be",1819
"67","there was a",1774
"68","of the day",1757
"69","if you want",1753
"70","to see the",1745
"71","one of those",1738
"72","it will be",1728
"73","that i have",1728
"74","would like to",1727
"75","and i have",1681
"76","as much as",1680
"77","and it was",1669
"78","at the same",1638
"79","you need to",1633
"80","of the most",1607
"81","in the middle",1588
"82","and i am",1587
"83","i feel like",1582
"84","i decided to",1577
"85","have to be",1561
"86","the same time",1553
"87","to get a",1551
"88","have a great",1549
"89","it is not",1538
"90","that i am",1530
"91","are going to",1528
"92","for the follow",1524
"93","it was the",1477
"94","let me know",1452
"95","to make it",1452
"96","a little bit",1442
"97","it is the",1440
"98","as long as",1434
"99","and i was",1430
"100","all the time",1427
"101","i dont think",1416
"102","what do you",1412
"103","for me to",1395
"104","i am a",1387
"105","i was a",1387
"106","go to the",1377
"107","of the world",1377
"108","of the year",1367
"109","i hope you",1364
"110","we need to",1356
"111","i know i",1354
"112","need to be",1344
"113","when it comes",1343
"114","the united states",1342
"115","we have a",1335
"116","a long time",1332
"117","at the time",1332
"118","in the first",1331
"119","i have no",1325
"120","for a while",1322
"121","the middle of",1319
"122","in the past",1318
"123","i would have",1314
"124","on the other",1314
"125","to get the",1314
"126","i am so",1306
"127","in my life",1306
"128","in the morning",1305
"129","to be in",1298
"130","is not a",1296
"131","i love the",1294
"132","do you think",1289
"133","i know that",1271
"134","to take a",1271
"135","that it was",1270
"136","i wish i",1257
"137","and it is",1255
"138","to do it",1255
"139","would be a",1254
"140","but it was",1250
"141","not going to",1249
"142","as soon as",1248
"143","dont want to",1242
"144","i went to",1242
"145","that it is",1239
"146","it comes to",1236
"147","would have been",1234
"148","that i was",1233
"149","i was in",1223
"150","in the same",1222
"151","side of the",1196
"152","so i can",1196
"153","to make the",1195
"154","to say that",1193
"155","i dont have",1186
"156","i think it",1185
"157","you can see",1169
"158","seems to be",1166
"159","would love to",1163
"160","i cant wait",1160
"161","i don't know",1160
"162","up in the",1157
"163","for a few",1150
"164","there will be",1145
"165","the top of",1144
"166","but it is",1135
"167","look at the",1135
"168","a bunch of",1133
"169","will be a",1131
"170","in love with",1123
"171","according to the",1111
"172","because of the",1108
"173","i do not",1093
"174","a number of",1092
"175","a chance to",1091
"176","of the best",1089
"177","to be able",1086
"178","i used to",1085
"179","look forward to",1083
"180","in the end",1080
"181","of my favorite",1077
"182","a part of",1076
"183","do you have",1070
"184","of my life",1059
"185","but i think",1047
"186","it has been",1047
"187","i am going",1040
